episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.05,0.99,0.0020401477813720703
2,14.0,0.98,0.05,0.99,0.0020401477813720703
3,17.0,0.9603999999999999,0.05,0.99,0.009804964065551758
4,12.0,0.9411919999999999,0.05,0.99,0.01182103157043457
5,10.0,0.9223681599999999,0.05,0.99,0.013835430145263672
6,16.0,0.9039207967999998,0.05,0.99,0.017864465713500977
7,23.0,0.8858423808639998,0.05,0.99,0.01987910270690918
8,27.0,0.8681255332467198,0.05,0.99,0.0239105224609375
9,16.0,0.8507630225817854,0.05,0.99,0.02793574333190918
10,28.0,0.8337477621301497,0.05,0.99,0.03196096420288086
11,23.0,0.8170728068875467,0.05,0.99,0.035733699798583984
12,12.0,0.8007313507497957,0.05,0.99,0.03774857521057129
13,30.0,0.7847167237347998,0.05,0.99,0.04177355766296387
14,24.0,0.7690223892601038,0.05,0.99,0.043859004974365234
15,22.0,0.7536419414749017,0.05,0.99,0.04971766471862793
16,17.0,0.7385691026454037,0.05,0.99,0.04971766471862793
17,16.0,0.7237977205924956,0.05,0.99,0.04971766471862793
18,17.0,0.7093217661806457,0.05,0.99,0.04971766471862793
19,44.0,0.6951353308570327,0.05,0.99,0.04971766471862793
20,21.0,0.6812326242398921,0.05,0.99,0.06561994552612305
21,23.0,0.6676079717550942,0.05,0.99,0.06871414184570312
22,11.0,0.6542558123199923,0.05,0.99,0.06871414184570312
23,18.0,0.6411706960735924,0.05,0.99,0.06871414184570312
24,14.0,0.6283472821521205,0.05,0.99,0.06871414184570312
25,11.0,0.6157803365090782,0.05,0.99,0.06871414184570312
26,10.0,0.6034647297788965,0.05,0.99,0.0816490650177002
27,15.0,0.5913954351833186,0.05,0.99,0.08400177955627441
28,54.0,0.5795675264796523,0.05,0.99,0.08859753608703613
29,32.0,0.5679761759500592,0.05,0.99,0.08859753608703613
30,12.0,0.5566166524310581,0.05,0.99,0.09767293930053711
31,10.0,0.5454843193824369,0.05,0.99,0.10019421577453613
32,23.0,0.5345746329947881,0.05,0.99,0.10422086715698242
33,9.0,0.5238831403348924,0.05,0.99,0.10623526573181152
34,11.0,0.5134054775281945,0.05,0.99,0.10824942588806152
35,13.0,0.5031373679776306,0.05,0.99,0.11026573181152344
36,33.0,0.493074620618078,0.05,0.99,0.11379098892211914
37,67.0,0.48321312820571644,0.05,0.99,0.12183570861816406
38,23.0,0.4735488656416021,0.05,0.99,0.12586164474487305
39,29.0,0.46407788832877006,0.05,0.99,0.12963080406188965
40,17.0,0.45479633056219465,0.05,0.99,0.13365912437438965
41,25.0,0.44570040395095073,0.05,0.99,0.13567328453063965
42,11.0,0.4367863958719317,0.05,0.99,0.13768386840820312
43,12.0,0.42805066795449304,0.05,0.99,0.14171147346496582
44,28.0,0.41948965459540316,0.05,0.99,0.1454787254333496
45,20.0,0.4110998615034951,0.05,0.99,0.14749360084533691
46,24.0,0.4028778642734252,0.05,0.99,0.1515183448791504
47,61.0,0.39482030698795667,0.05,0.99,0.1575489044189453
48,11.0,0.38692390084819756,0.05,0.99,0.16131877899169922
49,14.0,0.3791854228312336,0.05,0.99,0.16333484649658203
50,14.0,0.37160171437460887,0.05,0.99,0.16534924507141113
51,11.0,0.3641696800871167,0.05,0.99,0.16736507415771484
52,16.0,0.35688628648537435,0.05,0.99,0.16938090324401855
53,58.0,0.34974856075566685,0.05,0.99,0.1771690845489502
54,10.0,0.3427535895405535,0.05,0.99,0.1791834831237793
55,21.0,0.33589851774974244,0.05,0.99,0.1811983585357666
56,62.0,0.3291805473947476,0.05,0.99,0.18924498558044434
57,14.0,0.32259693644685267,0.05,0.99,0.19125962257385254
58,65.0,0.3161449977179156,0.05,0.99,0.1990489959716797
59,19.0,0.3098220977635573,0.05,0.99,0.2020728588104248
60,11.0,0.30362565580828615,0.05,0.99,0.20408844947814941
61,23.0,0.2975531426921204,0.05,0.99,0.208113431930542
62,23.0,0.291602079838278,0.05,0.99,0.20912599563598633
63,26.0,0.2857700382415124,0.05,0.99,0.20912599563598633
64,18.0,0.2800546374766822,0.05,0.99,0.20912599563598633
65,28.0,0.27445354472714856,0.05,0.99,0.20912599563598633
66,25.0,0.2689644738326056,0.05,0.99,0.2249317169189453
67,52.0,0.26358518435595346,0.05,0.99,0.2249317169189453
68,34.0,0.25831348066883436,0.05,0.99,0.2249317169189453
69,9.0,0.2531472110554577,0.05,0.99,0.2362043857574463
70,42.0,0.24808426683434853,0.05,0.99,0.24057245254516602
71,20.0,0.24312258149766156,0.05,0.99,0.24057245254516602
72,44.0,0.2382601298677083,0.05,0.99,0.24057245254516602
73,13.0,0.23349492727035415,0.05,0.99,0.24057245254516602
74,45.0,0.22882502872494706,0.05,0.99,0.2575984001159668
75,18.0,0.22424852815044813,0.05,0.99,0.2575984001159668
76,14.0,0.21976355758743915,0.05,0.99,0.2575984001159668
77,29.0,0.21536828643569036,0.05,0.99,0.2575984001159668
78,11.0,0.21106092070697655,0.05,0.99,0.2575984001159668
79,32.0,0.20683970229283702,0.05,0.99,0.27216124534606934
80,27.0,0.20270290824698028,0.05,0.99,0.27216124534606934
81,54.0,0.19864885008204067,0.05,0.99,0.27216124534606934
82,47.0,0.19467587308039985,0.05,0.99,0.28800296783447266
83,21.0,0.19078235561879187,0.05,0.99,0.28800296783447266
84,51.0,0.18696670850641603,0.05,0.99,0.30040574073791504
85,37.0,0.18322737433628772,0.05,0.99,0.3039712905883789
86,10.0,0.17956282684956196,0.05,0.99,0.3039712905883789
87,46.0,0.1759715703125707,0.05,0.99,0.3039712905883789
88,16.0,0.1724521389063193,0.05,0.99,0.3039712905883789
89,40.0,0.16900309612819292,0.05,0.99,0.31998181343078613
90,27.0,0.16562303420562907,0.05,0.99,0.31998181343078613
91,12.0,0.16231057352151648,0.05,0.99,0.31998181343078613
92,30.0,0.15906436205108615,0.05,0.99,0.31998181343078613
93,52.0,0.15588307481006441,0.05,0.99,0.3357889652252197
94,12.0,0.15276541331386312,0.05,0.99,0.3357889652252197
95,25.0,0.14971010504758586,0.05,0.99,0.3357889652252197
96,32.0,0.14671590294663414,0.05,0.99,0.3357889652252197
97,17.0,0.14378158488770146,0.05,0.99,0.35167956352233887
98,47.0,0.14090595318994742,0.05,0.99,0.35167956352233887
99,42.0,0.13808783412614847,0.05,0.99,0.35167956352233887
100,24.0,0.13532607744362551,0.05,0.99,0.3676576614379883
101,23.0,0.132619555894753,0.05,0.99,0.3676576614379883
102,9.0,0.12996716477685794,0.05,0.99,0.3676576614379883
103,9.0,0.12736782148132078,0.05,0.99,0.3676576614379883
104,42.0,0.12482046505169436,0.05,0.99,0.38340210914611816
105,27.0,0.12232405575066048,0.05,0.99,0.38340210914611816
106,28.0,0.11987757463564727,0.05,0.99,0.38340210914611816
107,88.0,0.11748002314293432,0.05,0.99,0.40071654319763184
108,22.0,0.11513042268007563,0.05,0.99,0.40071654319763184
109,27.0,0.11282781422647412,0.05,0.99,0.40071654319763184
110,9.0,0.11057125794194463,0.05,0.99,0.40071654319763184
111,23.0,0.10835983278310574,0.05,0.99,0.41022157669067383
112,15.0,0.10619263612744362,0.05,0.99,0.41523098945617676
113,12.0,0.10406878340489474,0.05,0.99,0.41523098945617676
114,17.0,0.10198740773679685,0.05,0.99,0.41523098945617676
115,22.0,0.09994765958206091,0.05,0.99,0.41523098945617676
116,61.0,0.0979487063904197,0.05,0.99,0.41523098945617676
117,49.0,0.0959897322626113,0.05,0.99,0.43092989921569824
118,18.0,0.09406993761735907,0.05,0.99,0.43092989921569824
119,10.0,0.0921885388650119,0.05,0.99,0.43092989921569824
120,86.0,0.09034476808771166,0.05,0.99,0.4512183666229248
121,51.0,0.08853787272595742,0.05,0.99,0.45726919174194336
122,11.0,0.08676711527143827,0.05,0.99,0.46129631996154785
123,23.0,0.0850317729660095,0.05,0.99,0.4650743007659912
124,40.0,0.08333113750668932,0.05,0.99,0.4691028594970703
125,11.0,0.08166451475655553,0.05,0.99,0.4731290340423584
126,23.0,0.08003122446142442,0.05,0.99,0.4751439094543457
127,57.0,0.07843059997219594,0.05,0.99,0.48293209075927734
128,23.0,0.07686198797275202,0.05,0.99,0.48494529724121094
129,53.0,0.07532474821329699,0.05,0.99,0.49299049377441406
130,33.0,0.07381825324903105,0.05,0.99,0.49675774574279785
131,68.0,0.07234188818405042,0.05,0.99,0.5047988891601562
132,11.0,0.07089505042036941,0.05,0.99,0.5068144798278809
133,26.0,0.06947714941196202,0.05,0.99,0.5105819702148438
134,25.0,0.06808760642372277,0.05,0.99,0.5125970840454102
135,38.0,0.06672585429524831,0.05,0.99,0.5186338424682617
136,10.0,0.06539133720934334,0.05,0.99,0.5206496715545654
137,38.0,0.06408351046515648,0.05,0.99,0.5246729850769043
138,13.0,0.06280184025585335,0.05,0.99,0.5264265537261963
139,13.0,0.061545803450736285,0.05,0.99,0.5264265537261963
140,41.0,0.060314887381721555,0.05,0.99,0.5264265537261963
141,13.0,0.05910858963408712,0.05,0.99,0.5264265537261963
142,24.0,0.05792641784140538,0.05,0.99,0.5264265537261963
143,24.0,0.05676788948457727,0.05,0.99,0.5424768924713135
144,21.0,0.055632531694885724,0.05,0.99,0.5424768924713135
145,44.0,0.054519881060988006,0.05,0.99,0.5424768924713135
146,68.0,0.05342948343976824,0.05,0.99,0.5582625865936279
147,45.0,0.052360893770972874,0.05,0.99,0.5582625865936279
148,40.0,0.05131367589555342,0.05,0.99,0.5582625865936279
149,51.0,0.05028740237764235,0.05,0.99,0.5743489265441895
150,122.0,0.05,0.05,0.99,0.5915846824645996
151,15.0,0.05,0.05,0.99,0.5956051349639893
152,13.0,0.05,0.05,0.99,0.5986020565032959
153,13.0,0.05,0.05,0.99,0.6011223793029785
154,27.0,0.05,0.05,0.99,0.6081390380859375
155,16.0,0.05,0.05,0.99,0.611459493637085
156,41.0,0.05,0.05,0.99,0.6184561252593994
157,22.0,0.05,0.05,0.99,0.6224546432495117
158,10.0,0.05,0.05,0.99,0.6244580745697021
159,23.0,0.05,0.05,0.99,0.6287610530853271
160,15.0,0.05,0.05,0.99,0.631751298904419
161,74.0,0.05,0.05,0.99,0.6417860984802246
162,26.0,0.05,0.05,0.99,0.6461009979248047
163,46.0,0.05,0.05,0.99,0.652099609375
164,10.0,0.05,0.05,0.99,0.6550722122192383
165,27.0,0.05,0.05,0.99,0.6590657234191895
166,40.0,0.05,0.05,0.99,0.663067102432251
