episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.01,0.95,0.001007080078125
2,14.0,0.99,0.01,0.95,0.006028413772583008
3,41.0,0.9801,0.01,0.95,0.012082338333129883
4,16.0,0.9702989999999999,0.01,0.95,0.017081260681152344
5,30.0,0.96059601,0.01,0.95,0.021908283233642578
6,22.0,0.9509900498999999,0.01,0.95,0.02594614028930664
7,15.0,0.9414801494009999,0.01,0.95,0.02594614028930664
8,27.0,0.9320653479069899,0.01,0.95,0.033154964447021484
9,17.0,0.92274469442792,0.01,0.95,0.03518104553222656
10,20.0,0.9135172474836407,0.01,0.95,0.03921008110046387
11,18.0,0.9043820750088043,0.01,0.95,0.041225433349609375
12,41.0,0.8953382542587163,0.01,0.95,0.04525136947631836
13,26.0,0.8863848717161291,0.01,0.95,0.04901766777038574
14,21.0,0.8775210229989678,0.01,0.95,0.05103135108947754
15,16.0,0.8687458127689781,0.01,0.95,0.05103135108947754
16,15.0,0.8600583546412883,0.01,0.95,0.05103135108947754
17,33.0,0.8514577710948754,0.01,0.95,0.05103135108947754
18,37.0,0.8429431933839266,0.01,0.95,0.06718850135803223
19,17.0,0.8345137614500874,0.01,0.95,0.06918859481811523
20,75.0,0.8261686238355865,0.01,0.95,0.07723045349121094
21,14.0,0.8179069375972307,0.01,0.95,0.07920598983764648
22,13.0,0.8097278682212583,0.01,0.95,0.07920598983764648
23,23.0,0.8016305895390458,0.01,0.95,0.07920598983764648
24,115.0,0.7936142836436553,0.01,0.95,0.08737874031066895
25,15.0,0.7856781408072188,0.01,0.95,0.08737874031066895
26,44.0,0.7778213593991465,0.01,0.95,0.10649394989013672
27,37.0,0.7700431458051551,0.01,0.95,0.11147785186767578
28,15.0,0.7623427143471035,0.01,0.95,0.11347079277038574
29,27.0,0.7547192872036325,0.01,0.95,0.11649155616760254
30,32.0,0.7471720943315961,0.01,0.95,0.12047743797302246
31,41.0,0.7397003733882802,0.01,0.95,0.1245412826538086
32,23.0,0.7323033696543974,0.01,0.95,0.12752318382263184
33,11.0,0.7249803359578534,0.01,0.95,0.12952542304992676
34,26.0,0.7177305325982748,0.01,0.95,0.1325223445892334
35,20.0,0.7105532272722921,0.01,0.95,0.13550424575805664
36,32.0,0.7034476949995692,0.01,0.95,0.13850116729736328
37,20.0,0.6964132180495735,0.01,0.95,0.13850116729736328
38,20.0,0.6894490858690777,0.01,0.95,0.13850116729736328
39,13.0,0.682554595010387,0.01,0.95,0.13850116729736328
40,37.0,0.6757290490602831,0.01,0.95,0.13850116729736328
41,96.0,0.6689717585696803,0.01,0.95,0.15439844131469727
42,38.0,0.6622820409839835,0.01,0.95,0.15439844131469727
43,63.0,0.6556592205741436,0.01,0.95,0.17037343978881836
44,54.0,0.6491026283684022,0.01,0.95,0.17671775817871094
45,11.0,0.6426116020847181,0.01,0.95,0.1776888370513916
46,22.0,0.6361854860638709,0.01,0.95,0.18071794509887695
47,20.0,0.6298236312032323,0.01,0.95,0.1837165355682373
48,27.0,0.6235253948912,0.01,0.95,0.1872425079345703
49,26.0,0.617290140942288,0.01,0.95,0.19045066833496094
50,28.0,0.6111172395328651,0.01,0.95,0.1934502124786377
51,23.0,0.6050060671375365,0.01,0.95,0.1964888572692871
52,15.0,0.5989560064661611,0.01,0.95,0.19849038124084473
53,29.0,0.5929664464014994,0.01,0.95,0.20249199867248535
54,15.0,0.5870367819374844,0.01,0.95,0.20450043678283691
55,41.0,0.5811664141181095,0.01,0.95,0.20886468887329102
56,36.0,0.5753547499769285,0.01,0.95,0.20886468887329102
57,32.0,0.5696012024771592,0.01,0.95,0.20886468887329102
58,16.0,0.5639051904523876,0.01,0.95,0.20886468887329102
59,14.0,0.5582661385478638,0.01,0.95,0.22028136253356934
60,18.0,0.5526834771623851,0.01,0.95,0.22028136253356934
61,45.0,0.5471566423907612,0.01,0.95,0.22028136253356934
62,46.0,0.5416850759668536,0.01,0.95,0.22028136253356934
63,70.0,0.536268225207185,0.01,0.95,0.24010229110717773
64,22.0,0.5309055429551132,0.01,0.95,0.24211597442626953
65,51.0,0.525596487525562,0.01,0.95,0.2481520175933838
66,31.0,0.5203405226503064,0.01,0.95,0.2519190311431885
67,18.0,0.5151371174238033,0.01,0.95,0.2551102638244629
68,38.0,0.5099857462495653,0.01,0.95,0.25913286209106445
69,16.0,0.5048858887870696,0.01,0.95,0.26114583015441895
70,42.0,0.4998370298991989,0.01,0.95,0.2651669979095459
71,35.0,0.49483865960020695,0.01,0.95,0.27054858207702637
72,79.0,0.4898902730042049,0.01,0.95,0.28156375885009766
73,54.0,0.48499137027416284,0.01,0.95,0.2887716293334961
74,30.0,0.4801414565714212,0.01,0.95,0.2927701473236084
75,68.0,0.475340042005707,0.01,0.95,0.3010382652282715
76,58.0,0.47058664158564995,0.01,0.95,0.30707645416259766
77,29.0,0.4658807751697934,0.01,0.95,0.31110501289367676
78,24.0,0.4612219674180955,0.01,0.95,0.31487560272216797
79,14.0,0.45660974774391455,0.01,0.95,0.31852149963378906
80,36.0,0.4520436502664754,0.01,0.95,0.3245713710784912
81,38.0,0.44752321376381066,0.01,0.95,0.33060669898986816
82,48.0,0.44304798162617254,0.01,0.95,0.33766603469848633
83,28.0,0.4386175018099108,0.01,0.95,0.3396790027618408
84,26.0,0.4342313267918117,0.01,0.95,0.3463866710662842
85,41.0,0.4298890135238936,0.01,0.95,0.35243773460388184
86,22.0,0.42559012338865465,0.01,0.95,0.3564724922180176
87,15.0,0.4213342221547681,0.01,0.95,0.3605077266693115
88,109.0,0.41712087993322045,0.01,0.95,0.37232208251953125
89,46.0,0.41294967113388825,0.01,0.95,0.37810254096984863
90,24.0,0.40882017442254937,0.01,0.95,0.3821384906768799
91,46.0,0.4047319726783239,0.01,0.95,0.38820934295654297
92,110.0,0.40068465295154065,0.01,0.95,0.4137563705444336
93,35.0,0.39667780642202527,0.01,0.95,0.42692041397094727
94,17.0,0.392711028357805,0.01,0.95,0.4319171905517578
95,44.0,0.38878391807422696,0.01,0.95,0.4439246654510498
96,28.0,0.3848960788934847,0.01,0.95,0.4499185085296631
97,65.0,0.38104711810454983,0.01,0.95,0.46393299102783203
98,108.0,0.37723664692350434,0.01,0.95,0.4970424175262451
99,86.0,0.37346428045426927,0.01,0.95,0.5116510391235352
100,53.0,0.36972963764972655,0.01,0.95,0.5211832523345947
101,44.0,0.36603234127322926,0.01,0.95,0.5301849842071533
102,30.0,0.36237201786049694,0.01,0.95,0.5361864566802979
103,34.0,0.358748297681892,0.01,0.95,0.5411937236785889
104,40.0,0.35516081470507305,0.01,0.95,0.5492603778839111
105,56.0,0.3516092065580223,0.01,0.95,0.560394287109375
106,24.0,0.34809311449244207,0.01,0.95,0.5664644241333008
107,32.0,0.34461218334751764,0.01,0.95,0.5722846984863281
108,34.0,0.34116606151404244,0.01,0.95,0.580547571182251
109,63.0,0.337754400898902,0.01,0.95,0.5920817852020264
110,34.0,0.334376856889913,0.01,0.95,0.5982837677001953
111,47.0,0.33103308832101386,0.01,0.95,0.6082820892333984
112,25.0,0.3277227574378037,0.01,0.95,0.6232645511627197
113,32.0,0.3244455298634257,0.01,0.95,0.63027024269104
114,97.0,0.3212010745647914,0.01,0.95,0.6472680568695068
115,39.0,0.3179890638191435,0.01,0.95,0.6542632579803467
116,37.0,0.31480917318095203,0.01,0.95,0.6602637767791748
117,62.0,0.3116610814491425,0.01,0.95,0.6702630519866943
118,27.0,0.30854447063465107,0.01,0.95,0.67327880859375
119,37.0,0.30545902592830454,0.01,0.95,0.6816637516021729
120,10.0,0.3024044356690215,0.01,0.95,0.6838936805725098
121,44.0,0.29938039131233124,0.01,0.95,0.6905574798583984
122,29.0,0.2963865873992079,0.01,0.95,0.6965553760528564
123,57.0,0.29342272152521587,0.01,0.95,0.7045559883117676
124,49.0,0.2904884943099637,0.01,0.95,0.7138867378234863
125,26.0,0.28758360936686406,0.01,0.95,0.715900182723999
126,33.0,0.2847077732731954,0.01,0.95,0.720698356628418
127,33.0,0.28186069554046345,0.01,0.95,0.720698356628418
128,61.0,0.2790420885850588,0.01,0.95,0.7365529537200928
129,41.0,0.2762516676992082,0.01,0.95,0.7365529537200928
130,78.0,0.27348915102221616,0.01,0.95,0.7523138523101807
131,48.0,0.270754259511994,0.01,0.95,0.759476900100708
132,33.0,0.26804671691687404,0.01,0.95,0.7683694362640381
133,52.0,0.2653662497477053,0.01,0.95,0.7764661312103271
134,23.0,0.2627125872502282,0.01,0.95,0.7825453281402588
135,41.0,0.2600854613777259,0.01,0.95,0.7903761863708496
136,41.0,0.2574846067639487,0.01,0.95,0.7964327335357666
137,40.0,0.2549097606963092,0.01,0.95,0.8042652606964111
138,26.0,0.2523606630893461,0.01,0.95,0.810326337814331
139,70.0,0.24983705645845267,0.01,0.95,0.8241555690765381
140,59.0,0.24733868589386815,0.01,0.95,0.8340132236480713
141,29.0,0.24486529903492946,0.01,0.95,0.8393049240112305
142,55.0,0.24241664604458016,0.01,0.95,0.853459358215332
143,30.0,0.23999247958413436,0.01,0.95,0.8604602813720703
144,21.0,0.23759255478829303,0.01,0.95,0.8667535781860352
145,59.0,0.2352166292404101,0.01,0.95,0.8763771057128906
146,29.0,0.232864462948006,0.01,0.95,0.8842442035675049
147,25.0,0.23053581831852593,0.01,0.95,0.8902976512908936
148,47.0,0.22823046013534068,0.01,0.95,0.8965728282928467
149,24.0,0.22594815553398728,0.01,0.95,0.9015805721282959
150,47.0,0.22368867397864742,0.01,0.95,0.9090876579284668
151,32.0,0.22145178723886094,0.01,0.95,0.9151039123535156
152,52.0,0.21923726936647234,0.01,0.95,0.9244716167449951
153,30.0,0.2170448966728076,0.01,0.95,0.9294638633728027
154,48.0,0.21487444770607952,0.01,0.95,0.9331269264221191
155,31.0,0.21272570322901874,0.01,0.95,0.9397928714752197
156,40.0,0.21059844619672854,0.01,0.95,0.952286958694458
157,58.0,0.20849246173476127,0.01,0.95,0.9622774124145508
158,27.0,0.20640753711741366,0.01,0.95,0.9672799110412598
159,61.0,0.20434346174623952,0.01,0.95,0.9774386882781982
160,35.0,0.20230002712877712,0.01,0.95,0.9865403175354004
161,56.0,0.20027702685748935,0.01,0.95,0.9962217807769775
162,27.0,0.19827425658891445,0.01,0.95,1.0022246837615967
163,39.0,0.1962915140230253,0.01,0.95,1.010775089263916
164,38.0,0.19432859888279505,0.01,0.95,1.017773151397705
165,31.0,0.1923853128939671,0.01,0.95,1.0271189212799072
166,49.0,0.19046145976502743,0.01,0.95,1.0321271419525146
167,34.0,0.18855684516737714,0.01,0.95,1.0405213832855225
168,27.0,0.18667127671570335,0.01,0.95,1.0477879047393799
169,66.0,0.18480456394854633,0.01,0.95,1.0575487613677979
170,42.0,0.18295651830906087,0.01,0.95,1.0635945796966553
171,35.0,0.18112695312597027,0.01,0.95,1.0696351528167725
172,58.0,0.17931568359471056,0.01,0.95,1.0776844024658203
173,35.0,0.17752252675876345,0.01,0.95,1.081456184387207
174,29.0,0.17574730149117582,0.01,0.95,1.0865020751953125
175,35.0,0.17398982847626407,0.01,0.95,1.090531826019287
176,23.0,0.17224993019150142,0.01,0.95,1.095569133758545
177,37.0,0.1705274308895864,0.01,0.95,1.1016089916229248
